,geohash6,temp,precip,precipcover,count
15139,h9dr66,85.0,0.0,0.0,1
15188,h9dr66,79.2,1.236,33.33,4
15199,h9dr66,85.3,0.0,0.0,4
15206,h9dr66,78.9,2.857,79.17,2
15222,h9dr66,80.5,0.894,41.67,4
15223,h9dr66,80.1,0.221,12.5,16
15259,h9dr66,77.7,0.008,8.33,13
15270,h9dr66,82.7,0.013,4.17,3
15433,h9dr66,76.8,0.343,33.33,3
15442,h9dr66,72.3,2.553,58.33,1
15552,h9dr67,66.0,0.0,0.0,29
15665,h9dr67,80.4,1.448,37.5,4
15708,h9dr67,81.3,0.213,45.83,2
15886,h9dr67,85.0,0.0,0.0,2
15954,h9dr67,80.1,0.221,12.5,12
15968,h9dr67,73.6,0.021,4.17,2
15974,h9dr67,77.7,0.008,8.33,9
16085,h9dr67,79.5,0.0,0.0,1
16163,h9dr68,84.6,0.0,0.0,1
16176,h9dr68,78.5,0.765,37.5,1
16197,h9dr68,76.0,0.0,0.0,1
16288,h9dr69,79.2,2.142,70.83,1
16333,h9dr69,80.9,0.184,20.83,6
16508,h9dr69,76.0,0.0,0.0,6
16572,h9dr69,80.1,0.953,66.67,2
16592,h9dr69,86.7,0.0,0.0,1
16598,h9dr69,78.9,2.857,79.17,1
16637,h9dr69,71.6,0.0,0.0,2
16675,h9dr6d,77.9,1.5,29.17,11
16695,h9dr6d,79.1,1.272,41.67,3
16703,h9dr6d,81.5,0.587,29.17,1
16705,h9dr6d,79.2,2.142,70.83,5
16710,h9dr6d,80.0,0.072,25.0,1
16711,h9dr6d,77.6,0.999,58.33,4
16735,h9dr6d,74.5,0.0,0.0,1
16778,h9dr6d,73.3,0.0,0.0,1
16811,h9dr6d,80.9,0.184,20.83,15
16849,h9dr6d,78.3,0.578,25.0,3
16854,h9dr6d,79.2,3.027,66.67,1
16860,h9dr6d,80.0,1.373,66.67,2
16862,h9dr6d,80.4,1.448,37.5,1
16871,h9dr6d,82.8,0.475,50.0,1
16882,h9dr6d,81.4,0.091,37.5,2
16993,h9dr6d,76.0,0.0,0.0,12
17054,h9dr6d,79.4,0.175,29.17,4
17057,h9dr6d,74.8,1.424,91.67,6
17125,h9dr6d,81.1,1.467,37.5,2
17149,h9dr6d,78.8,0.0,0.0,1
17154,h9dr6d,75.1,0.778,37.5,1
17166,h9dr6d,74.4,0.0,0.0,2
17266,h9dr6e,79.2,2.142,70.83,1
17269,h9dr6e,77.6,0.999,58.33,3
17369,h9dr6e,77.7,0.934,95.83,2
17388,h9dr6e,84.4,0.351,25.0,2
17403,h9dr6e,82.8,0.475,50.0,1
17541,h9dr6e,79.3,0.0,0.0,10
17618,h9dr6e,74.8,1.424,91.67,2
17620,h9dr6e,78.3,3.914,75.0,1
17621,h9dr6e,81.8,0.075,12.5,2
17623,h9dr6e,78.2,0.186,45.83,2
17651,h9dr6e,84.9,0.093,12.5,1
17687,h9dr6e,83.5,0.138,16.67,1
17693,h9dr6e,81.1,1.467,37.5,1
17694,h9dr6e,82.5,0.517,45.83,1
17762,h9dr6e,76.1,0.436,16.67,2
17867,h9dr6k,83.1,0.0,0.0,7
17884,h9dr6k,74.4,0.0,0.0,2
17944,h9dr6k,66.0,0.0,0.0,20
18050,h9dr6k,80.2,0.54,16.67,5
